ID_Number,mpg,cylinders,displacement,horsepower,weight,acceleration,name
  0,-0.705720, 1.495535, 1.088435, 0.674700, 0.630274,-1.294604,chevrolet chevelle malibu
  1,-1.089551, 1.495535, 1.500913, 1.588439, 0.853457,-1.476652,buick skylark 320
  2,-0.705720, 1.495535, 1.193953, 1.196836, 0.549975,-1.658700,plymouth satellite
  3,-0.961608, 1.495535, 1.059658, 1.196836, 0.546432,-1.294604,amc rebel sst
  4,-0.833664, 1.495535, 1.040473, 0.935768, 0.565326,-1.840747,ford torino
  5,-1.089551, 1.495535, 2.258721, 2.449963, 1.618659,-2.022795,ford galaxie 500
  6,-1.217495, 1.495535, 2.498534, 3.024313, 1.634010,-2.386891,chevrolet impala
  7,-1.217495, 1.495535, 2.364239, 2.893779, 1.584414,-2.568939,plymouth fury iii
  8,-1.217495, 1.495535, 2.508126, 3.154847, 1.717852,-2.022795,pontiac catalina
  9,-1.089551, 1.495535, 1.884613, 2.241109, 1.038853,-2.568939,amc ambassador dpl
 10,-1.089551, 1.495535, 1.817466, 1.718973, 0.699945,-2.022795,dodge challenger se
 11,-1.217495, 1.495535, 1.404988, 1.457904, 0.754265,-2.750987,plymouth 'cuda 340
 12,-1.089551, 1.495535, 1.980538, 1.196836, 0.933756,-2.204843,chevrolet monte carlo
 13,-1.217495, 1.495535, 2.508126, 3.154847, 0.136671,-2.022795,buick estate wagon (sw)
 14, 0.061941,-0.858191,-0.772511,-0.239038,-0.706468,-0.202316,toyota corona mark ii
 15,-0.193946, 0.318672, 0.042852,-0.239038,-0.162088,-0.020268,plymouth duster
 16,-0.705720, 0.318672, 0.052445,-0.186825,-0.231759,-0.020268,amc hornet
 17,-0.321889, 0.318672, 0.062037,-0.500107,-0.452581, 0.161780,ford maverick
 18, 0.445772,-0.858191,-0.925991,-0.421786,-0.992237,-0.384364,datsun pl510
 19, 0.317829,-0.858191,-0.925991,-1.518272,-1.340593, 1.800211,volkswagen 1131 deluxe sedan
 20, 0.189885,-0.858191,-0.801288,-0.447893,-0.352208, 0.707923,peugeot 504
 21, 0.061941,-0.858191,-0.830066,-0.369573,-0.637977,-0.384364,audi 100 ls
 22, 0.189885,-0.858191,-0.858843,-0.239038,-0.702925, 0.707923,saab 99e
 23, 0.317829,-0.858191,-0.695771, 0.230884,-0.869427,-1.112556,bmw 2002
 24,-0.321889, 0.318672, 0.052445,-0.369573,-0.380548,-0.202316,amc gremlin
 25,-1.729269, 1.495535, 1.596838, 2.893779, 1.942217,-0.566412,ford f250
 26,-1.729269, 1.495535, 1.088435, 2.502177, 1.659989,-0.202316,chevy c20
 27,-1.601326, 1.495535, 1.193953, 2.763245, 1.667075,-0.748460,dodge d200
 28,-1.857213, 1.495535, 1.059658, 2.319429, 2.080378, 1.072019,hi 1200d
 29, 0.445772,-0.858191,-0.925991,-0.421786,-0.992237,-0.384364,datsun pl510
 30, 0.573716,-0.858191,-0.513513,-0.369573,-0.834001,-0.020268,chevrolet vega 2300
 31, 0.189885,-0.858191,-0.772511,-0.239038,-0.876513,-0.566412,toyota corona
 32, 0.189885,-0.858191,-0.916398,-0.369573,-1.091430, 1.254067,ford pinto
 33,-0.577777, 0.318672, 0.368997,-0.108504,-0.397081,-0.930508,amc gremlin
 34,-0.961608, 0.318672, 0.301850, 0.022030, 0.553517,-0.020268,plymouth satellite custom
 35,-0.833664, 0.318672, 0.541663,-0.108504, 0.423622,-0.020268,chevrolet chevelle malibu
 36,-0.577777, 0.318672, 0.541663,-0.421786, 0.391738,-0.020268,ford torino 500
 37,-0.705720, 0.318672, 0.368997,-0.108504, 0.375206,-0.020268,amc matador
 38,-1.217495, 1.495535, 1.500913, 1.588439, 1.462785,-1.294604,chevrolet impala
 39,-1.217495, 1.495535, 1.980538, 1.849507, 1.763906,-1.476652,pontiac catalina brougham
 40,-1.217495, 1.495535, 1.510506, 1.275157, 1.397837,-0.748460,ford galaxie 500
 41,-1.217495, 1.495535, 1.193953, 1.196836, 1.329347,-0.930508,plymouth fury iii
 42,-1.473382, 1.495535, 1.817466, 1.980041, 2.343711,-1.476652,dodge monaco (sw)
 43,-1.345439, 1.495535, 1.980538, 1.718973, 2.096910,-1.294604,ford country squire (sw)
 44,-1.345439, 1.495535, 1.980538, 1.849507, 2.562172,-1.294604,pontiac safari (sw)
 45,-0.705720, 0.318672, 0.618403, 0.152564,-0.009756,-0.748460,amc hornet sportabout (sw)
 46,-0.193946,-0.858191,-0.513513,-0.839495,-0.663956, 1.254067,chevrolet vega (sw)
 47,-0.577777, 0.318672, 0.541663,-0.108504, 0.368121,-0.202316,pontiac firebird
 48,-0.705720, 0.318672, 0.541663,-0.421786, 0.199257,-0.384364,ford mustang
 49,-0.066002,-0.858191,-0.686178,-0.474000,-0.885959,-0.566412,mercury capri 2000
 50, 0.573716,-0.858191,-0.743733,-0.369573,-1.000504,-0.566412,opel 1900
 51, 0.829603,-0.858191,-1.098656,-0.891709,-1.058366, 1.436115,peugeot 304
 52, 0.829603,-0.858191,-1.012324,-0.735068,-1.068994,-0.384364,fiat 124b
 53, 0.957547,-0.858191,-1.175396,-1.022243,-1.413807, 1.254067,toyota corolla 1200
 54, 1.469322,-0.858191,-1.165804,-0.917816,-1.602746, 0.889971,datsun 1200
 55, 0.445772,-0.858191,-0.925991,-1.152777,-1.341774, 1.254067,volkswagen model 111
 56, 0.317829,-0.858191,-0.983546,-0.891709,-1.198889, 1.800211,plymouth cricket
 57, 0.061941,-0.858191,-0.772511,-0.239038,-0.817469,-0.020268,toyota corona hardtop
 58, 0.189885,-0.858191,-0.921195,-0.630641,-0.996961, 0.525875,dodge colt hardtop
 59,-0.066002,-0.858191,-0.925991,-1.309418,-0.845810, 2.892498,volkswagen type 3
 60,-0.449833,-0.858191,-0.513513,-0.369573,-0.663956, 1.436115,chevrolet vega
 61,-0.321889,-0.858191,-0.686178,-0.474000,-0.878874, 0.343828,ford pinto runabout
 62,-1.345439, 1.495535, 1.500913, 1.588439, 1.539541,-1.294604,chevrolet impala
 63,-1.217495, 1.495535, 1.980538, 1.849507, 1.670617,-1.294604,pontiac catalina
 64,-1.089551, 1.495535, 1.193953, 1.196836, 1.375400,-0.748460,plymouth fury iii
 65,-1.217495, 1.495535, 1.510506, 1.275157, 1.368315,-0.930508,ford galaxie 500
 66,-0.833664, 1.495535, 1.059658, 1.196836, 0.828659,-1.476652,amc ambassador sst
 67,-1.601326, 1.495535, 2.258721, 2.711032, 1.963472,-1.658700,mercury marquis
 68,-1.345439, 1.495535, 1.500913, 1.327370, 1.808779,-0.748460,buick lesabre custom
 69,-1.473382, 1.495535, 1.500913, 1.457904, 1.754459,-0.748460,oldsmobile delta 88 royale
 70,-1.345439, 1.495535, 1.980538, 2.241109, 1.714309,-1.112556,chrysler newport royal
 71,-0.577777,-1.446623,-1.184989,-0.186825,-0.756064,-0.748460,mazda rx2 coupe
 72,-1.089551, 1.495535, 1.059658, 1.196836, 1.088450,-1.112556,amc matador (sw)
 73,-1.345439, 1.495535, 1.088435, 0.674700, 1.331708,-0.566412,chevrolet chevelle concours (sw)
 74,-1.345439, 1.495535, 1.040473, 0.935768, 1.563158, 0.161780,ford gran torino (sw)
 75,-1.217495, 1.495535, 1.193953, 1.196836, 1.306910,-0.566412,plymouth satellite custom (sw)
 76,-0.705720,-0.858191,-0.695771, 0.204777,-0.044001,-0.384364,volvo 145e (sw)
 77,-0.193946,-0.858191,-0.695771,-0.735068,-0.542327, 0.889971,volkswagen 411 (sw)
 78,-0.321889,-0.858191,-0.705363,-0.447893, 0.010318, 1.436115,peugeot 504 (sw)
 79, 0.317829,-0.858191,-0.935583,-0.917816,-0.922566, 0.889971,renault 12 (sw)
 80,-0.193946,-0.858191,-0.686178,-0.474000,-0.679308, 0.161780,ford pinto (sw)
 81, 0.573716,-0.858191,-0.925991,-0.317359,-0.805661, 0.525875,datsun 510 (sw)
 82,-0.066002,-0.858191,-0.705363,-0.186825,-0.548232,-0.384364,toyouta corona mark ii (sw)
 83, 0.573716,-0.858191,-0.916398,-0.630641,-0.952088,-0.202316,dodge colt (sw)
 84, 0.445772,-0.858191,-0.925991,-0.421786,-1.027663, 0.343828,toyota corolla 1600 (sw)
 85,-1.345439, 1.495535, 1.500913, 1.849507, 1.334070,-0.930508,buick century 350
 86,-1.217495, 1.495535, 1.059658, 1.196836, 0.828659,-1.476652,amc matador
 87,-1.345439, 1.495535, 1.500913, 1.066302, 1.201813,-0.930508,chevrolet malibu
 88,-1.217495, 1.495535, 1.040473, 0.857448, 1.265580,-0.384364,ford gran torino
 89,-1.089551, 1.495535, 1.193953, 1.196836, 0.952650,-1.112556,dodge coronet custom
 90,-1.473382, 1.495535, 2.258721, 2.449963, 2.340169,-1.476652,mercury marquis brougham
 91,-1.345439, 1.495535, 1.980538, 1.196836, 1.763906,-1.294604,chevrolet caprice classic
 92,-1.345439, 1.495535, 1.510506, 1.405691, 1.644638,-0.930508,ford ltd
 93,-1.217495, 1.495535, 1.193953, 1.196836, 1.495849,-0.384364,plymouth fury gran sedan
 94,-1.345439, 1.495535, 2.364239, 2.893779, 2.083921,-1.658700,chrysler new yorker brougham
 95,-1.473382, 1.495535, 2.508126, 3.154847, 2.338988,-1.658700,buick electra 225 custom
 96,-1.345439, 1.495535, 1.596838, 1.849507, 1.004608,-1.658700,amc ambassador brougham
 97,-0.705720, 0.318672, 0.301850, 0.022030, 0.178002, 0.343828,plymouth valiant
 98,-0.961608, 0.318672, 0.541663,-0.108504, 0.363398, 0.889971,chevrolet nova custom
 99,-0.705720, 0.318672, 0.368997,-0.108504,-0.029831, 0.161780,amc hornet
100,-0.705720, 0.318672, 0.541663,-0.421786, 0.059915, 0.343828,ford maverick
101,-0.066002, 0.318672, 0.042852,-0.239038,-0.078247, 0.161780,plymouth duster
102, 0.317829,-0.858191,-0.925991,-1.518272,-1.204793, 1.982259,volkswagen super beetle
103,-1.601326, 1.495535, 1.980538, 1.196836, 2.393308,-0.566412,chevrolet impala
104,-1.473382, 1.495535, 1.980538, 1.640652, 2.285849,-1.112556,ford country
105,-1.345439, 1.495535, 1.596838, 1.718973, 1.988270,-0.930508,plymouth custom suburb
106,-1.473382, 1.495535, 1.500913, 1.980041, 1.805236,-1.112556,oldsmobile vista cruiser
107,-0.705720, 0.318672, 0.368997,-0.108504,-0.214046,-0.202316,amc gremlin
108,-0.449833,-0.858191,-0.925991,-0.421786,-0.816288, 1.254067,toyota carina
109,-0.321889,-0.858191,-0.513513,-0.839495,-0.672223, 1.436115,chevrolet vega
110,-0.193946,-0.858191,-0.820473,-0.265145,-0.698202, 0.343828,datsun 610
111,-0.705720,-1.446623,-1.184989,-0.369573,-0.999323,-0.748460,maxda rx3
112,-0.577777,-0.858191,-0.686178,-0.500107,-0.779681, 1.072019,ford pinto
113,-0.321889, 0.318672,-0.369626, 0.074243,-0.588381,-0.566412,mercury capri v6
114, 0.317829,-0.858191,-0.916398,-0.369573,-0.832820,-0.020268,fiat 124 sport coupe
115,-1.089551, 1.495535, 1.500913, 1.066302, 1.312815,-0.930508,chevrolet monte carlo s
116,-0.961608, 1.495535, 1.980538, 3.285381, 1.544264,-2.204843,pontiac grand prix
117, 0.701660,-0.858191,-1.204174,-1.439952,-1.302805, 1.436115,fiat 128
118, 0.061941,-0.858191,-0.743733,-0.761175,-0.959173,-0.020268,opel manta
119,-0.449833,-0.858191,-0.762918,-0.343466,-0.458486,-0.566412,audi 100ls
120,-0.577777,-0.858191,-0.695771, 0.204777,-0.120758,-0.020268,volvo 144ea
121,-1.089551, 1.495535, 1.193953, 1.196836, 0.506283,-1.658700,dodge dart custom
122, 0.061941,-0.858191,-0.695771, 0.152564,-0.366378,-0.566412,saab 99le
123,-0.449833, 0.318672,-0.360033, 0.465846,-0.192791,-0.748460,toyota mark ii
124,-1.601326, 1.495535, 1.500913, 1.980041, 0.819212,-1.658700,oldsmobile omega
125,-0.449833, 0.318672, 0.042852,-0.239038, 0.155565, 0.343828,plymouth duster
126,-0.321889, 0.318672, 0.062037,-0.708961,-0.112492, 0.525875,ford maverick
127,-0.577777, 0.318672, 0.368997,-0.108504,-0.081789, 0.161780,amc hornet
128,-1.089551, 0.318672, 0.541663,-0.108504, 0.431888, 0.525875,chevrolet nova
129, 0.957547,-0.858191,-1.098656,-0.970029,-1.204793, 1.254067,datsun b210
130, 0.317829,-0.858191,-0.686178,-0.630641,-0.613179, 0.343828,ford pinto
131, 1.085491,-0.858191,-1.175396,-1.022243,-1.339412, 1.982259,toyota corolla 1200
132, 0.189885,-0.858191,-0.513513,-0.761175,-0.505720, 0.525875,chevrolet vega
133,-0.961608, 0.318672, 0.541663,-0.108504, 0.957374, 0.525875,chevrolet chevelle malibu classic
134,-0.961608, 0.318672, 0.618403, 0.152564, 0.781424, 0.889971,amc matador
135,-0.705720, 0.318672, 0.301850, 0.022030, 0.758988, 0.343828,plymouth satellite sebring
136,-0.961608, 1.495535, 1.040473, 0.935768, 1.382486,-0.566412,ford gran torino
137,-1.345439, 1.495535, 1.500913, 1.196836, 2.041409,-0.384364,buick century luxus (sw)
138,-1.217495, 1.495535, 1.193953, 1.196836, 1.755640,-0.748460,dodge coronet custom (sw)
139,-1.217495, 1.495535, 1.040473, 0.935768, 1.969376, 0.161780,ford gran torino (sw)
140,-1.217495, 1.495535, 1.059658, 1.196836, 1.519466,-0.020268,amc matador (sw)
141, 0.701660,-0.858191,-0.916398,-0.552320,-0.887140, 0.343828,audi fox
142, 0.317829,-0.858191,-1.098656,-0.970029,-1.189442,-0.020268,volkswagen dasher
143, 0.317829,-0.858191,-0.925991,-0.682854,-0.791490,-0.384364,opel manta
144, 0.957547,-0.858191,-1.127434,-1.361631,-1.560234, 0.343828,toyota corona
145, 1.085491,-0.858191,-1.060286,-1.126670,-1.142208, 1.254067,datsun 710
146, 0.573716,-0.858191,-0.993139,-0.761175,-0.998142,-0.384364,dodge colt
147, 0.061941,-0.858191,-0.993139,-0.761175,-1.018217,-0.020268,fiat 128
148, 0.317829,-0.858191,-0.743733,-0.761175,-0.855257,-0.566412,fiat 124 tc
149, 0.061941,-0.858191,-0.705363,-0.186825,-0.568306,-0.202316,honda civic
150, 0.317829,-0.858191,-0.820473,-0.291252,-0.684031,-0.020268,subaru
151, 0.957547,-0.858191,-1.098656,-0.970029,-1.145750, 0.161780,fiat x1.9
152,-0.577777, 0.318672, 0.301850,-0.239038, 0.346865, 0.161780,plymouth valiant custom
153,-0.705720, 0.318672, 0.541663, 0.022030, 0.577135, 0.161780,chevrolet nova
154,-1.089551, 0.318672, 0.541663,-0.839495, 0.545251, 1.982259,mercury monarch
155,-1.089551, 0.318672, 0.541663,-0.839495, 0.221694, 1.436115,ford maverick
156,-0.961608, 1.495535, 1.980538, 1.718973, 2.004802,-1.476652,pontiac catalina
157,-1.089551, 1.495535, 1.500913, 1.066302, 1.735565,-0.566412,chevrolet bel air
158,-0.961608, 1.495535, 1.193953, 1.196836, 1.804055,-0.384364,plymouth grand fury
159,-1.217495, 1.495535, 1.510506, 1.144623, 1.991813,-0.748460,ford ltd
160,-0.833664, 0.318672, 0.359405, 0.152564, 1.106163, 1.982259,buick century
161,-0.961608, 0.318672, 0.541663, 0.022030, 1.094354, 1.072019,chevroelt chevelle malibu
162,-1.089551, 0.318672, 0.618403, 0.152564, 0.897149, 1.254067,amc matador
163,-0.705720, 0.318672, 0.301850,-0.239038, 0.962097, 1.254067,plymouth fury
164,-0.321889, 0.318672, 0.359405, 0.152564, 0.081170,-0.202316,buick skyhawk
165,-0.449833, 1.495535, 0.656773, 0.152564, 0.296088,-0.748460,chevrolet monza 2+2
166,-1.345439, 1.495535, 1.040473, 0.648593, 0.234683,-1.294604,ford mustang ii
167, 0.701660,-0.858191,-0.925991,-0.761175,-0.943822, 0.161780,toyota corolla
168,-0.066002,-0.858191,-0.513513,-0.552320,-0.391176, 0.525875,ford pinto
169,-0.449833, 0.318672, 0.368997,-0.108504,-0.066438, 0.161780,amc gremlin
170,-0.066002,-0.858191,-0.513513,-0.682854,-0.446677, 1.072019,pontiac astro
171, 0.061941,-0.858191,-0.571068,-0.212932,-0.316782,-0.748460,toyota corona
172, 0.189885,-0.858191,-0.993139,-0.865602,-0.882417, 0.343828,volkswagen dasher
173, 0.061941,-0.858191,-0.714956,-0.186825,-0.502178, 0.525875,datsun 710
174,-0.705720, 0.318672,-0.216146,-0.186825, 0.016223,-0.384364,ford pinto
175, 0.701660,-0.858191,-0.993139,-0.891709,-1.220145,-0.566412,volkswagen rabbit
176,-0.577777, 0.318672, 0.368997,-0.369573, 0.284280, 0.525875,amc pacer
177,-0.066002,-0.858191,-0.753326,-0.239038,-0.326229,-0.202316,audi 100ls
178,-0.066002,-0.858191,-0.705363,-0.421786,-0.015661, 0.525875,peugeot 504
179,-0.193946,-0.858191,-0.695771,-0.160718,-0.029831,-0.384364,volvo 244dl
180, 0.189885,-0.858191,-0.695771, 0.283098,-0.353389,-0.748460,saab 99le
181, 1.213434,-0.858191,-0.983546,-1.335525,-1.387828, 0.707923,honda civic cvcc
182, 0.573716,-0.858191,-0.830066,-0.474000,-0.597828,-0.020268,fiat 131
183, 0.189885,-0.858191,-0.743733,-0.604534,-0.885959, 0.489466,opel 1900
184, 0.189885,-0.858191,-0.513513,-0.317359,-0.470294,-0.238726,capri ii
185, 0.317829,-0.858191,-0.916398,-0.656747,-0.844629, 0.780743,dodge colt
186, 0.445772,-0.858191,-0.887621,-0.552320,-0.907215,-0.093087,renault 12tl
187,-0.769692, 1.495535, 1.069250, 0.935768, 1.469870,-0.930508,chevrolet chevelle malibu classic
188,-0.961608, 1.495535, 1.193953, 1.196836, 1.440348,-0.930508,dodge coronet brougham
189,-1.025579, 1.495535, 1.059658, 0.413632, 1.171111,-0.602822,amc matador
190,-1.153523, 1.495535, 1.510506, 1.249050, 1.469870,-1.003327,ford gran torino
191,-0.193946, 0.318672, 0.301850,-0.108504, 0.310259,-0.056678,plymouth valiant
192,-0.193946, 0.318672, 0.541663, 0.022030, 0.451963,-0.384364,chevrolet nova
193, 0.061941, 0.318672, 0.062037,-0.604534, 0.049287, 0.744333,ford maverick
194,-0.129974, 0.318672, 0.368997,-0.369573, 0.135490, 0.744333,amc hornet
195, 0.701660,-0.858191,-1.041101,-1.361631,-1.104420, 2.419174,chevrolet chevette
196, 0.125913,-0.858191,-0.916398,-1.152777,-0.952088, 2.382764,chevrolet woody
197, 0.701660,-0.858191,-0.993139,-0.891709,-1.220145,-0.493593,vw rabbit
198, 1.213434,-0.858191,-0.983546,-1.335525,-1.387828, 0.671514,honda civic
